日期,證券代號,證券名稱,序號,券商,價格,買進股數,賣出股數
2002/03/11,3034,novatek,316,1233,422.00,1000,0
2002/03/11,3034,novatek,317,1233,422.50,1000,0
2002/03/11,3034,novatek,318,1233,429.00,2000,0
2002/03/11,3034,novatek,319,1233,429.50,0,2000
2002/03/11,3034,novatek,320,1233,430.00,0,1000
2002/03/11,3034,novatek,321,1233,430.50,0,1000
2002/03/11,3034,novatek,322,1233,431.00,0,1000
2002/03/11,3034,novatek,323,1260,428.00,0,1
2002/03/11,3034,novatek,324,1260,429.50,0,5001
2002/03/11,3034,novatek,325,1260,430.00,0,6000
2002/03/11,3034,novatek,326,1260,430.50,0,5000
2002/03/11,3034,novatek,327,1260,431.00,0,5000
2002/03/11,3034,novatek,328,1260,431.50,0,5000
2002/03/11,3034,novatek,329,1262,425.00,0,1000
2002/03/11,3034,novatek,330,1262,427.50,1,0
2002/03/11,3034,novatek,331,1262,429.00,0,4
2002/03/11,3034,novatek,332,1262,430.00,0,2000
2002/03/11,3034,novatek,333,126D,430.50,0,1000
2002/03/11,3034,novatek,334,126H,429.50,0,110
2002/03/11,3034,novatek,335,126H,431.00,0,2000
2002/03/11,3034,novatek,336,126H,431.50,0,4000
2002/03/11,3034,novatek,337,126i,429.00,0,1000
2002/03/11,3034,novatek,338,126i,430.00,0,2000
2002/03/11,3034,novatek,339,126i,430.50,1000,0
2002/03/11,3034,novatek,340,126i,431.00,0,2000
2002/03/11,3034,novatek,341,126i,431.50,0,1000
2002/03/11,3034,novatek,342,126L,429.50,20,0
2002/03/11,3034,novatek,343,126L,430.00,0,100
2002/03/11,3034,novatek,344,126Q,425.00,0,1
2002/03/11,3034,novatek,345,126U,425.50,0,20
2002/03/11,3034,novatek,346,126U,426.00,0,20
2002/03/11,3034,novatek,347,126U,428.50,0,1000
2002/03/11,3034,novatek,348,126U,429.00,0,40
2002/03/11,3034,novatek,349,126U,429.50,0,1020
2002/03/11,3034,novatek,350,126U,431.00,0,2000
2002/03/11,3034,novatek,351,126X,422.00,0,1000
2002/03/11,3034,novatek,352,126X,423.50,0,1000
2002/03/11,3034,novatek,353,126X,425.00,0,1
2002/03/11,3034,novatek,354,126X,428.00,0,2000
2002/03/11,3034,novatek,355,126X,428.50,0,1000
2002/03/11,3034,novatek,356,1360,420.50,2000,0
2002/03/11,3034,novatek,357,1360,422.00,51000,0
2002/03/11,3034,novatek,358,1360,423.00,1000,0
2002/03/11,3034,novatek,359,1360,425.50,1000,0
2002/03/11,3034,novatek,360,1360,426.50,2000,0
2002/03/11,3034,novatek,361,1360,427.50,1000,0
2002/03/11,3034,novatek,362,1360,428.50,4000,2000
2002/03/11,3034,novatek,363,1360,429.00,5000,1000
2002/03/11,3034,novatek,364,1360,429.50,4000,2000
2002/03/11,3034,novatek,365,1360,430.00,6000,2000
2002/03/11,3034,novatek,366,1360,430.50,2000,1000
2002/03/11,3034,novatek,367,1360,431.00,5000,2000
2002/03/11,3034,novatek,368,1360,431.50,66000,7000
2002/03/11,3034,novatek,369,1380,420.00,0,2000
2002/03/11,3034,novatek,370,1380,420.50,0,14000
2002/03/11,3034,novatek,371,1380,421.00,0,6000
2002/03/11,3034,novatek,372,1380,421.50,0,19000
2002/03/11,3034,novatek,373,1380,422.00,11000,64000
2002/03/11,3034,novatek,374,1380,422.50,0,18000
2002/03/11,3034,novatek,375,1380,423.00,0,7000
2002/03/11,3034,novatek,376,1380,423.50,0,1000
2002/03/11,3034,novatek,377,1380,424.00,0,1000
2002/03/11,3034,novatek,378,1380,425.00,0,1000
2002/03/11,3034,novatek,379,1380,425.50,0,6000
2002/03/11,3034,novatek,380,1380,426.00,0,10000
2002/03/11,3034,novatek,381,1380,426.50,0,8000
2002/03/11,3034,novatek,382,1380,427.00,0,3000
2002/03/11,3034,novatek,383,1380,427.50,0,1000
2002/03/11,3034,novatek,384,1380,428.00,0,6000
2002/03/11,3034,novatek,385,1380,428.50,0,26000
2002/03/11,3034,novatek,386,1380,429.00,0,61000
2002/03/11,3034,novatek,387,1380,429.50,0,45000
2002/03/11,3034,novatek,388,1380,430.00,0,19000
2002/03/11,3034,novatek,389,1380,430.50,0,36000
2002/03/11,3034,novatek,390,1380,431.00,0,25000
2002/03/11,3034,novatek,391,1380,431.50,60000,70000
2002/03/11,3034,novatek,392,1440,420.00,1000,0
2002/03/11,3034,novatek,393,1440,420.50,8000,0
2002/03/11,3034,novatek,394,1440,421.00,22000,0
2002/03/11,3034,novatek,395,1440,421.50,10000,0
2002/03/11,3034,novatek,396,1440,422.00,92000,5000
2002/03/11,3034,novatek,397,1440,422.50,15000,0
2002/03/11,3034,novatek,398,1440,423.00,1000,0
2002/03/11,3034,novatek,399,1440,423.50,32000,0
2002/03/11,3034,novatek,400,1440,424.00,50000,0
2002/03/11,3034,novatek,401,1440,424.50,4000,0
2002/03/11,3034,novatek,402,1440,425.00,4000,0
2002/03/11,3034,novatek,403,1440,425.50,3000,978
2002/03/11,3034,novatek,404,1440,426.00,62000,0
2002/03/11,3034,novatek,405,1440,426.50,17000,0
2002/03/11,3034,novatek,406,1440,427.00,14000,0
2002/03/11,3034,novatek,407,1440,427.50,5000,0
2002/03/11,3034,novatek,408,1440,428.00,52000,9000
2002/03/11,3034,novatek,409,1440,428.50,72000,2000
2002/03/11,3034,novatek,410,1440,429.00,137000,8000
2002/03/11,3034,novatek,411,1440,429.50,112000,0
2002/03/11,3034,novatek,412,1440,430.00,120000,0
2002/03/11,3034,novatek,413,1440,430.50,74000,19000
2002/03/11,3034,novatek,414,1440,431.00,68000,1000
2002/03/11,3034,novatek,415,1440,431.50,104000,3000
2002/03/11,3034,novatek,416,1470,420.00,1000,0
2002/03/11,3034,novatek,417,1470,420.50,1000,2000
2002/03/11,3034,novatek,418,1470,421.00,2000,24000
2002/03/11,3034,novatek,419,1470,421.50,4000,2000
2002/03/11,3034,novatek,420,1470,422.00,14000,133000
2002/03/11,3034,novatek,421,1470,422.50,9000,40000
2002/03/11,3034,novatek,422,1470,423.00,4000,33000
2002/03/11,3034,novatek,423,1470,424.00,0,10000
2002/03/11,3034,novatek,424,1470,425.00,0,42000
2002/03/11,3034,novatek,425,1470,425.50,2000,39000
2002/03/11,3034,novatek,426,1470,426.00,18000,46000
2002/03/11,3034,novatek,427,1470,426.50,2000,82000
2002/03/11,3034,novatek,428,1470,427.00,4000,0
2002/03/11,3034,novatek,429,1470,427.50,13000,18000
2002/03/11,3034,novatek,430,1470,428.00,13000,41000
2002/03/11,3034,novatek,431,1470,428.50,34000,71000
2002/03/11,3034,novatek,432,1470,429.00,24000,45000
2002/03/11,3034,novatek,433,1470,429.50,41000,55103
2002/03/11,3034,novatek,434,1470,430.00,30000,62000
2002/03/11,3034,novatek,435,1470,430.50,36000,23000
2002/03/11,3034,novatek,436,1470,431.00,69000,86000
2002/03/11,3034,novatek,437,1470,431.50,144000,67000
2002/03/11,3034,novatek,438,1470,432.00,2000,0
2002/03/11,3034,novatek,439,1480,420.50,2000,1000
2002/03/11,3034,novatek,440,1480,421.50,9000,0
2002/03/11,3034,novatek,441,1480,422.00,16000,13000
2002/03/11,3034,novatek,442,1480,422.50,85000,2000
2002/03/11,3034,novatek,443,1480,423.00,0,1000
2002/03/11,3034,novatek,444,1480,423.50,0,1000
2002/03/11,3034,novatek,445,1480,424.00,15000,0
2002/03/11,3034,novatek,446,1480,424.50,0,1000
2002/03/11,3034,novatek,447,1480,425.00,3000,1000
2002/03/11,3034,novatek,448,1480,425.50,40000,1000
2002/03/11,3034,novatek,449,1480,426.00,11000,6000
2002/03/11,3034,novatek,450,1480,426.50,5000,2000
2002/03/11,3034,novatek,451,1480,427.00,2000,0
2002/03/11,3034,novatek,452,1480,427.50,5000,0
2002/03/11,3034,novatek,453,1480,428.00,6000,3000
2002/03/11,3034,novatek,454,1480,428.50,28000,4000
2002/03/11,3034,novatek,455,1480,429.00,81000,6000
2002/03/11,3034,novatek,456,1480,429.50,27000,25000
2002/03/11,3034,novatek,457,1480,430.00,226000,13000
2002/03/11,3034,novatek,458,1480,430.50,77000,10000
